Time@Axial Accel (Gs),Axial Accel (Gs)
1.48125,10.14
1.48375,10.14
1.48625,10.91
1.48875,10.82
1.49125,10.53
1.49375,10.34
1.49625,9.95
1.49875,9.57
1.50125,10.14
1.50375,10.05
1.50625,10.34
1.50875,10.24
1.51125,10.53
1.51375,10.24
1.51625,10.24
1.51875,10.14
1.52125,10.24
1.52375,10.14
1.52625,9.95
1.52875,10.05
1.53125,10.24
1.53375,10.43
1.53625,10.14
1.53875,10.43
1.54125,10.14
1.54375,10.14
1.54625,10.14
1.54875,9.76
1.55125,10.05
1.55375,10.05
1.55625,10.14
1.55875,10.14
1.56125,10.14
1.56375,11.11
1.56625,11.11
1.56875,10.34
1.57125,10.05
1.57375,9.66
1.57625,9.76
1.57875,10.05
1.58125,10.05
1.58375,10.62
1.58625,10.14
1.58875,10.82
1.59125,10.14
1.59375,10.91
1.59625,10.43
1.59875,10.62
1.60125,10.62
1.60375,10.14
1.60625,10.05
1.60875,9.85
1.61125,10.24
1.61375,9.95
1.61625,10.05
1.61875,9.47
1.62125,10.05
1.62375,10.05
1.62625,10.24
1.62875,9.85
1.63125,10.24
1.63375,10.34
1.63625,10.14
1.63875,10.05
1.64125,10.34
1.64375,9.95
1.64625,9.76
1.64875,9.57
1.65125,9.57
1.65375,9.57
1.65625,9.66
1.65875,9.47
1.66125,9.85
1.66375,9.76
1.66625,9.66
1.66875,9.76
1.67125,9.76
1.67375,9.37
1.67625,9.76
1.67875,9.76
1.68125,9.95
1.68375,9.95
1.68625,9.76
1.68875,9.76
1.69125,9.66
1.69375,9.57
1.69625,9.18
1.69875,9.76
1.70125,9.76
1.70375,9.57
1.70625,9.47
1.70875,9.47
1.71125,9.47
1.71375,9.47
1.71625,9.47
1.71875,9.57
1.72125,9.57
1.72375,9.37
1.72625,9.47
1.72875,9.47
1.73125,9.18
1.73375,9.76
1.73625,9.47
1.73875,9.37
1.74125,9.37
1.74375,9.57
1.74625,9.47
1.74875,9.37
1.75125,9.37
1.75375,9.47
1.75625,9.47
1.75875,9.47
1.76125,9.76
1.76375,10.24
1.76625,9.37
1.76875,9.47
1.77125,9.37
1.77375,9.47
1.77625,9.28
1.77875,9.28
1.78125,8.99
1.78375,9.18
1.78625,9.76
1.78875,9.47
1.79125,10.24
1.79375,9.85
1.79625,9.76
1.79875,9.28
1.80125,9.47
1.80375,9.09
1.80625,9.09
1.80875,8.99
1.81125,9.28
1.81375,9.28
1.81625,9.09
1.81875,9.37
1.82125,9.28
1.82375,9.18
1.82625,9.28
1.82875,8.7
1.83125,10.14
1.83375,9.95
1.83625,9.18
1.83875,8.89
1.84125,9.28
1.84375,9.37
1.84625,8.99
1.84875,9.57
1.85125,9.37
1.85375,9.37
1.85625,9.47
1.85875,9.57
1.86125,9.66
1.86375,9.57
1.86625,9.28
1.86875,9.18
1.87125,8.99
1.87375,8.99
1.87625,9.57
1.87875,9.37
1.88125,9.57
1.88375,9.37
1.88625,8.89
1.88875,8.89
1.89125,9.09
1.89375,8.89
1.89625,8.99
1.89875,9.09
1.90125,8.99
1.90375,8.99
1.90625,9.18
1.90875,9.28
1.91125,9.37
1.91375,9.57
1.91625,8.6
1.91875,9.37
1.92125,9.09
1.92375,9.28
1.92625,9.66
1.92875,9.37
1.93125,9.18
1.93375,9.09
1.93625,9.09
1.93875,9.85
1.94125,8.22
1.94375,8.8
1.94625,9.18
1.94875,9.66
1.95125,9.28
1.95375,9.28
1.95625,9.09
1.95875,8.99
1.96125,8.8
1.96375,8.8
1.96625,9.47
1.96875,9.57
1.97125,9.09
1.97375,8.8
1.97625,8.8
1.97875,9.09
1.98125,9.37
1.98375,9.09
1.98625,8.99
1.98875,9.28
1.99125,9.37
1.99375,9.18
1.99625,9.09
1.99875,8.8
2.00125,8.8
2.00375,8.51
2.00625,8.8
2.00875,8.99
2.01125,9.09
2.01375,9.18
2.01625,8.8
2.01875,8.8
2.02125,8.8
2.02375,8.99
2.02625,8.89
2.02875,8.8
2.03125,8.6
2.03375,8.8
2.03625,9.66
2.03875,9.76
2.04125,9.09
2.04375,8.89
2.04625,8.6
2.04875,8.89
2.05125,8.89
2.05375,8.89
2.05625,8.7
2.05875,8.7
2.06125,8.7
2.06375,8.6
2.06625,8.8
2.06875,8.7
2.07125,8.7
2.07375,8.6
2.07625,8.6
2.07875,8.6
2.08125,8.7
2.08375,8.8
2.08625,8.89
2.08875,8.89
2.09125,8.7
2.09375,8.6
2.09625,8.51
2.09875,8.6
2.10125,8.6
2.10375,8.99
2.10625,8.99
2.10875,8.6
2.11125,8.8
2.11375,8.8
2.11625,8.89
2.11875,8.6
2.12125,8.7
2.12375,8.7
2.12625,8.8
2.12875,9.09
2.13125,9.18
2.13375,8.7
2.13625,8.7
2.13875,8.6
2.14125,8.7
2.14375,8.51
2.14625,8.51
2.14875,8.6
2.15125,8.7
2.15375,8.6
2.15625,8.6
2.15875,8.6
2.16125,8.6
2.16375,8.6
2.16625,8.89
2.16875,9.37
2.17125,10.24
2.17375,8.7
2.17625,8.41
2.17875,8.51
2.18125,8.41
2.18375,8.51
2.18625,9.28
2.18875,8.89
2.19125,9.18
2.19375,8.8
2.19625,8.6
2.19875,8.6
2.20125,8.41
2.20375,7.93
2.20625,8.89
2.20875,8.99
2.21125,8.7
2.21375,8.41
2.21625,8.51
2.21875,8.41
2.22125,8.7
2.22375,8.8
2.22625,7.93
2.22875,8.6
2.23125,8.32
2.23375,8.32
2.23625,8.51
2.23875,8.32
2.24125,8.6
2.24375,8.51
2.24625,8.51
2.24875,8.51
2.25125,8.6
2.25375,8.8
2.25625,8.32
2.25875,8.51
2.26125,8.22
2.26375,8.41
2.26625,8.32
2.26875,8.51
2.27125,8.51
2.27375,8.22
2.27625,8.41
2.27875,8.22
2.28125,8.32
2.28375,8.22
2.28625,8.22
2.28875,8.12
2.29125,8.22
2.29375,8.22
2.29625,8.22
2.29875,8.22
2.30125,8.22
2.30375,8.22
2.30625,8.32
2.30875,8.22
2.31125,8.22
2.31375,8.12
2.31625,8.32
2.31875,8.6
2.32125,8.6
2.32375,8.22
2.32625,8.22
2.32875,8.32
2.33125,8.22
2.33375,8.22
2.33625,8.22
2.33875,8.22
2.34125,8.22
2.34375,8.22
2.34625,8.22
2.34875,8.22
2.35125,8.41
2.35375,8.22
2.35625,8.22
2.35875,8.51
2.36125,8.22
2.36375,8.22
2.36625,8.22
2.36875,8.12
