# Simulation 3 (Up to date)
# 1006 data points written for 5 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (22.6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Calibres marge de stabilité (​),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
7.1612,1301.5,-21.379,3.04,0.68968
7.2112,1313,-21.244,3.0473,0.6866
7.2612,1324.5,-21.106,3.0517,0.68355
7.3112,1335.9,-20.974,3.0364,0.68051
7.3612,1347.3,-20.848,3.0285,0.67749
7.4112,1358.6,-20.726,3.0266,0.67447
7.4612,1369.8,-20.611,3.0354,0.67147
7.5112,1381,-20.499,3.046,0.66848
7.5612,1392.2,-20.387,3.0331,0.66551
7.6112,1403.3,-20.274,3.0255,0.66256
7.6612,1414.4,-20.162,3.0194,0.65962
7.7112,1425.4,-20.047,3.0206,0.65671
7.7612,1436.3,-19.934,3.0196,0.6538
7.8112,1447.2,-19.819,3.0267,0.65092
7.8612,1458.1,-19.705,3.0269,0.64805
7.9112,1468.9,-19.592,3.0151,0.6452
7.9612,1479.7,-19.482,3.0037,0.64237
8.0112,1490.4,-19.376,2.9985,0.63956
8.0612,1501,-19.275,3.0017,0.63675
8.1112,1511.6,-19.177,3.0081,0.63395
8.1612,1522.2,-19.081,3.0153,0.63117
8.2112,1532.7,-18.99,3.0057,0.6284
8.2612,1543.2,-18.898,2.9928,0.62564
8.3112,1553.6,-18.801,2.9926,0.62291
8.3612,1564,-18.704,2.9921,0.62019
8.4112,1574.3,-18.609,2.9912,0.61747
8.4612,1584.6,-18.512,2.996,0.61477
8.5112,1594.9,-18.417,2.9999,0.61207
8.5612,1605,-18.321,3.0017,0.6094
8.6112,1615.2,-18.229,2.9968,0.60672
8.6612,1625.3,-18.141,2.9989,0.60405
8.7112,1635.3,-18.051,2.9929,0.6014
8.7612,1645.4,-17.962,2.9868,0.59877
8.8112,1655.3,-17.874,2.9808,0.59616
8.8612,1665.2,-17.789,2.9792,0.59356
8.9112,1675.1,-17.706,2.9781,0.59097
8.9612,1684.9,-17.626,2.9849,0.58838
9.0112,1694.7,-17.545,2.9862,0.58582
9.0612,1704.5,-17.467,2.986,0.58326
9.1112,1714.2,-17.39,2.9752,0.58071
9.1612,1723.8,-17.313,2.9682,0.57817
9.2112,1733.4,-17.236,2.964,0.57564
9.2612,1743,-17.156,2.9681,0.57313
9.3112,1752.5,-17.076,2.9725,0.57063
9.3612,1762,-16.994,2.9726,0.56817
9.4113,1771.5,-16.915,2.9614,0.5657
9.4613,1780.9,-16.84,2.958,0.56323
9.5113,1790.2,-16.769,2.962,0.56076
9.5613,1799.5,-16.697,2.9636,0.55831
9.6113,1808.8,-16.624,2.9582,0.55589
9.6613,1818,-16.555,2.9604,0.55347
9.7113,1827.2,-16.488,2.9676,0.55104
9.7613,1836.4,-16.423,2.9599,0.54862
9.8113,1845.5,-16.356,2.9543,0.54623
9.8613,1854.5,-16.29,2.9497,0.54384
9.9113,1863.6,-16.224,2.9438,0.54145
9.9613,1872.6,-16.156,2.9475,0.53909
10.011,1881.5,-16.09,2.9455,0.53672
10.061,1890.4,-16.026,2.9397,0.53434
10.111,1899.3,-15.957,2.9504,0.532
10.161,1908.1,-15.888,2.958,0.52968
10.211,1916.9,-15.824,2.9556,0.52733
10.261,1925.6,-15.757,2.9385,0.52503
10.311,1934.3,-15.693,2.9293,0.52273
10.361,1943,-15.63,2.9233,0.52043
10.411,1951.6,-15.569,2.9207,0.51815
10.461,1960.2,-15.51,2.9212,0.51587
10.511,1968.8,-15.454,2.93,0.51359
10.561,1977.3,-15.399,2.9422,0.51132
10.611,1985.8,-15.345,2.9493,0.50907
10.661,1994.2,-15.293,2.9329,0.50681
10.711,2002.6,-15.241,2.9201,0.50456
10.761,2010.9,-15.187,2.9145,0.50233
10.811,2019.3,-15.132,2.912,0.5001
10.861,2027.5,-15.076,2.9144,0.49788
10.911,2035.8,-15.02,2.9156,0.49567
10.961,2044,-14.965,2.9187,0.49345
11.011,2052.2,-14.909,2.923,0.49124
11.061,2060.3,-14.853,2.9336,0.48905
11.111,2068.4,-14.794,2.9304,0.48688
11.161,2076.5,-14.737,2.9114,0.48472
11.211,2084.5,-14.683,2.9001,0.48256
11.261,2092.5,-14.631,2.893,0.4804
11.311,2100.4,-14.58,2.8897,0.47825
11.361,2108.3,-14.532,2.8951,0.4761
11.411,2116.2,-14.484,2.8973,0.47398
11.461,2124,-14.439,2.91,0.47184
11.511,2131.8,-14.398,2.9352,0.46969
11.561,2139.6,-14.357,2.9132,0.46755
11.611,2147.3,-14.313,2.906,0.46545
11.661,2155,-14.269,2.8957,0.46334
11.711,2162.7,-14.224,2.8917,0.46125
11.761,2170.3,-14.175,2.8993,0.45918
11.811,2177.9,-14.128,2.9025,0.4571
11.861,2185.5,-14.08,2.9113,0.45503
11.911,2193,-14.033,2.9189,0.45296
11.961,2200.5,-13.988,2.9222,0.45089
12.011,2207.9,-13.943,2.9246,0.44882
12.061,2215.3,-13.898,2.9259,0.44676
12.111,2222.7,-13.855,2.9267,0.44469
12.161,2230.1,-13.81,2.9155,0.44266
12.211,2237.4,-13.766,2.9071,0.44063
12.261,2244.6,-13.723,2.9026,0.43859
12.311,2251.9,-13.68,2.895,0.43658
12.361,2259.1,-13.639,2.8927,0.43456
12.411,2266.3,-13.603,2.91,0.43251
12.461,2273.4,-13.566,2.922,0.43048
12.511,2280.5,-13.528,2.9124,0.42846
12.561,2287.6,-13.489,2.9133,0.42647
12.611,2294.6,-13.449,2.9142,0.42449
12.661,2301.6,-13.412,2.9086,0.42249
12.711,2308.6,-13.375,2.9033,0.4205
12.761,2315.5,-13.337,2.9007,0.41852
12.811,2322.4,-13.298,2.9065,0.41655
12.861,2329.3,-13.258,2.916,0.4146
12.911,2336.1,-13.22,2.9136,0.41264
12.961,2342.9,-13.181,2.9007,0.41071
13.011,2349.7,-13.145,2.9015,0.40875
13.061,2356.4,-13.109,2.8996,0.4068
13.111,2363.2,-13.074,2.901,0.40486
13.161,2369.8,-13.039,2.9028,0.40292
13.211,2376.5,-13.007,2.9122,0.40097
13.261,2383.1,-12.974,2.9019,0.39903
13.311,2389.6,-12.94,2.9016,0.39711
13.361,2396.2,-12.907,2.8956,0.39518
13.411,2402.7,-12.874,2.8929,0.39326
13.461,2409.2,-12.839,2.8999,0.39136
13.511,2415.6,-12.805,2.9042,0.38946
13.561,2422,-12.771,2.9083,0.38757
13.611,2428.4,-12.739,2.9076,0.38567
13.661,2434.8,-12.704,2.8977,0.38379
13.711,2441.1,-12.671,2.892,0.38191
13.761,2447.4,-12.639,2.8863,0.38004
13.811,2453.6,-12.611,2.9022,0.37813
13.861,2459.9,-12.582,2.9006,0.37624
13.911,2466,-12.551,2.8992,0.37437
13.961,2472.2,-12.521,2.8982,0.3725
14.011,2478.3,-12.49,2.8979,0.37064
14.061,2484.4,-12.464,2.8831,0.36875
14.111,2490.5,-12.436,2.8739,0.36688
14.161,2496.5,-12.404,2.8842,0.36505
14.211,2502.5,-12.371,2.9,0.36323
14.261,2508.5,-12.345,2.8862,0.36135
14.311,2514.5,-12.315,2.8928,0.35952
14.361,2520.4,-12.287,2.8923,0.35767
14.411,2526.3,-12.258,2.8972,0.35584
14.461,2532.1,-12.227,2.8855,0.35403
14.511,2537.9,-12.198,2.8743,0.35222
14.561,2543.7,-12.171,2.8747,0.3504
14.611,2549.5,-12.143,2.8722,0.34858
14.661,2555.2,-12.117,2.876,0.34676
14.711,2560.9,-12.091,2.8727,0.34496
14.761,2566.6,-12.065,2.8746,0.34315
14.811,2572.2,-12.039,2.8787,0.34134
14.861,2577.8,-12.016,2.8921,0.33953
14.911,2583.4,-11.991,2.8922,0.33774
14.961,2589,-11.963,2.8802,0.33597
15.011,2594.5,-11.937,2.8733,0.33421
15.061,2600,-11.911,2.8665,0.33245
15.111,2605.4,-11.888,2.8732,0.33066
15.161,2610.8,-11.865,2.8842,0.32888
15.211,2616.2,-11.842,2.8915,0.3271
15.261,2621.6,-11.819,2.8901,0.32534
15.311,2627,-11.797,2.8766,0.32356
15.361,2632.3,-11.775,2.8706,0.3218
15.411,2637.6,-11.75,2.876,0.32006
15.461,2642.8,-11.729,2.8619,0.31828
15.511,2648,-11.705,2.8702,0.31655
15.561,2653.2,-11.682,2.8716,0.31481
15.611,2658.4,-11.657,2.8864,0.3131
15.661,2663.5,-11.633,2.8803,0.31137
15.711,2668.6,-11.612,2.8873,0.30962
15.761,2673.7,-11.591,2.8818,0.30788
15.811,2678.8,-11.571,2.8695,0.30612
15.861,2683.8,-11.552,2.8502,0.30435
