d_93,-12.64419,-11.4584,665.9089,-145.2731,16.28002,478.4014,,,
d_94,-13.03154,-11.89957,685.2551,-147.1214,17.34717,464.8904,,,
d_95,-13.43464,-12.3559,705.0027,-148.9698,18.41433,451.3849,,,
d_96,-13.83809,-12.8098,724.3762,-150.8181,19.48147,437.8831,,,
d_97,-14.23915,-13.25836,743.2535,-152.6665,20.54863,424.3906,,,
d_98,-14.72241,-13.7957,765.5051,-154.8391,21.80295,408.5496,,,
d_99,-15.25829,-14.38779,789.5582,-157.0116,23.05727,392.7173,,,
d_100,-15.7217,-14.89667,809.8348,-159.1842,24.31159,376.8906,,,
d_101,-16.26895,-15.49372,833.1535,-161.3567,25.56592,361.0771,,,
d_102,-16.84579,-16.1185,857.0026,-163.7724,26.96064,343.5214,,,
d_103,-17.37313,-16.68571,878.1563,-166.1881,28.35534,325.9728,,,
d_104,-17.93332,-17.28436,899.9578,-168.6039,29.75005,308.4223,,,
d_105,-18.57176,-17.96201,923.9733,-171.0196,31.14477,290.8916,,,
d_106,-19.25293,-18.67973,948.6284,-173.2382,32.42567,274.82,,,
d_107,-19.95459,-19.41344,972.9882,-175.457,33.70675,258.7475,,,
d_108,-20.60197,-20.08542,994.5368,-177.6765,34.98817,242.6601,,,
d_109,-21.23848,-20.74164,1014.865,-179.891,36.26669,226.5924,,,
d_110,-21.89284,-21.41181,1034.883,-181.7089,37.31624,213.3482,,,
d_111,-22.57383,-22.10468,1054.779,-183.4866,38.34264,200.1031,,,
d_112,-23.27824,-22.81663,1074.359,-185.2004,39.3321,186.8515,,,
d_113,-23.99484,-23.53606,1093.245,-186.845,40.28161,173.6102,,,
d_114,-24.72022,-24.25947,1111.307,-187.421,40.61415,168.8554,,,
d_115,-25.45465,-24.98704,1128.52,-187.9897,40.94251,164.1013,,,
d_116,-26.20439,-25.72486,1144.985,-188.5513,41.26675,159.3477,,,
d_117,-26.97506,-26.47821,1160.754,-189.1046,41.58615,154.595,,,
d_118,-27.77101,-27.25098,1175.816,-189.6486,41.90023,149.8431,,,
d_119,-28.59573,-28.04608,1190.121,-190.1843,42.20952,145.0922,,,
d_120,-29.45737,-28.87066,1203.658,-190.7119,42.51418,140.3423,,,
d_121,-30.36322,-29.73071,1216.349,-191.2318,42.81431,135.5932,,,
d_122,-31.32962,-30.64029,1228.156,-192.1526,43.34592,127.0076,,,
d_123,-32.38526,-31.62394,1239.021,-193.0514,43.86488,118.4251,,,
d_124,-33.58647,-32.72958,1248.818,-193.9312,44.37282,109.8457,,,
d_125,-35.08836,-34.08859,1257.25,-194.7933,44.87052,101.2696,,,
d_126,-36.18216,-35.05822,1260.733,-195.6232,45.34969,92.87047,,,
d_127,-36.91179,-35.69107,1261.817,-196.4424,45.82267,84.47437,,,
d_128,-37.34894,-36.06136,1261.993,-197.253,46.29066,76.08162,,,
d_129,,,,-198.057,46.75484,67.69208,,,
d_130,,,,-199.1785,47.40237,55.91,,,
d_131,,,,-200.2924,48.04548,44.13432,,,
d_132,,,,-201.4005,48.6852,32.36486,,,
d_133,,,,-202.5047,49.32272,20.60195,,,
d_134,,,,-202.9647,49.58829,15.69686,,,
d_135,,,,-203.4243,49.85366,10.79302,,,
d_136,,,,-203.8836,50.11882,5.890162,,,
d_137,,,,-204.3425,50.38378,0.9883995,,,

