#Frame	1
Y	8
X	456
T	7723
X	429
Y	-8
X	447
P	23705
X	447
Y	-8
X	429
V	1331
p	44
t	0
v	37
t	0
#Frame	25
X	429
Y	8
X	456
C	250
X	447
Y	0
X	447
a	8401
X	465
Y	8
X	456
m	8401
X	419
Y	-8
X	447
3	8421
X	465
Y	-8
X	429
4	0
X	447
Y	8
X	456
F	-11048
X	447
Y	0
X	447
b	8442
X	456
Y	8
X	419
T	7723
X	474
Y	8
X	474
P	23699
X	410
Y	-8
X	447
V	1411
p	51
t	0
v	38
t	0
#Frame	26
X	438
Y	0
X	438
C	125
X	438
Y	8
X	447
a	8421
X	465
Y	8
X	456
m	8401
X	438
Y	0
X	438
3	8421
X	438
Y	-8
X	447
4	0
X	438
Y	-8
X	429
F	-11048
X	447
Y	0
X	456
b	8462
X	447
Y	8
X	456
T	7723
X	429
Y	8
X	410
P	23693
X	447
Y	-16
X	465
V	1477
p	64
t	0
v	51
t	0
#Frame	27
X	456
Y	-8
X	456
C	125
X	456
Y	-8
X	456
a	8421
X	465
Y	8
X	447
m	8401
X	447
Y	8
X	447
3	8401
X	465
Y	0
X	447
4	0
X	447
Y	-8
X	447
F	-11048
X	447
Y	8
X	447
b	8442
X	456
Y	0
X	447
T	7723
X	447
Y	8
X	438
P	23686
X	447
Y	-8
X	456
V	1550
p	75
t	0
v	52
t	0
#Frame	28
X	438
Y	8
X	447
C	250
X	465
Y	8
X	447
a	8421
X	447
Y	8
X	438
m	8401
X	456
Y	8
X	483
3	8421
X	447
Y	0
X	447
4	0
X	447
Y	-8
X	447
F	-11048
X	456
Y	8
X	438
b	8442
X	438
Y	8
X	447
T	7723
X	447
Y	25
X	438
P	23680
X	447
Y	8
X	419
V	1624
p	91
t	0
v	63
t	0
#Frame	29
X	447
Y	16
X	465
C	250
X	456
Y	8
X	447
a	8401
X	447
Y	25
X	447
m	8401
X	447
Y	8
X	456
3	8401
X	447
Y	0
X	456
4	0
X	456
Y	0
X	447
F	-11048
X	447
Y	0
X	456
b	8462
X	465
Y	16
X	447
T	7723
X	465
Y	16
X	447
P	23673
X	429
Y	8
X	447
V	1705
p	103
t	0
v	63
t	0
#Frame	30
X	438
Y	8
X	474
C	250
X	438
Y	-8
X	447
a	8421
X	456
Y	8
X	456
m	8401
X	438
Y	16
X	456
3	8421
X	419
Y	8
X	456
4	0
X	438
Y	0
X	419
F	-11048
X	438
Y	8
X	438
b	8442
X	456
Y	16
X	456
T	7723
X	438
Y	8
X	438
P	23666
X	447
Y	-8
X	429
V	1771
p	122
t	0
v	75
t	0
#Frame	31
X	438
Y	8
X	429
C	250
X	447
Y	8
X	456
a	8401
X	447
Y	8
X	456
m	8401
X	447
Y	8
X	447
3	8421
X	438
Y	0
X	438
4	0
X	447
Y	-8
X	474
F	-11048
X	456
Y	16
X	438
b	8442
X	429
Y	25
X	456
T	7723
X	447
Y	16
X	419
P	23658
X	447
Y	16
X	447
V	1844
p	137
t	0
v	76
t	0
#Frame	32
X	447
Y	8
X	438
C	125
X	456
Y	8
X	447
a	8421
X	456
Y	8
X	474
m	8401
X	447
Y	0
X	447
3	8401
X	447
Y	-8
X	447
4	0
X	429
Y	8
X	429
F	-11048
X	438
Y	16
X	447
b	8462
X	456
Y	16
X	447
T	7723
X	438
Y	8
X	456
P	23650
X	447
Y	8
X	447
V	1917
p	161
t	0
v	89
t	0
#Frame	33
X	474
Y	8
X	474
C	250
X	447
Y	16
X	456
a	8401
X	456
Y	16
X	447
m	8401
X	447
Y	16
X	456
3	8401
X	456
Y	16
X	456
4	0
X	438
Y	8
X	438
F	-11048
X	456
Y	8
X	447
b	8442
X	447
Y	16
X	419
T	7723
X	474
Y	-8
X	465
P	23642
X	456
Y	0
X	465
V	1998
p	178
t	0
v	89
t	0
#Frame	34
X	447
Y	-8
X	456
C	125
X	438
Y	-8
X	456
a	8421
X	419
Y	8
X	456
m	8401
X	447
Y	8
